id,year,CentralityPR,CommunityDG,CentralityEV,CommunityUG,,
Albania,2023,0.001997833,2,4.33E-05,2,,
Argentina,2023,0.002444177,1,0.003850907,2,,
Aruba,2023,0.001972954,1,5.95E-05,2,,
Australia,2023,0.016435689,1,0.076912931,2,,
Austria,2023,0.007155662,2,0.013501959,2,,
Bahrain,2023,0.002614178,1,0.000908523,2,,
Bangladesh,2023,0.001988248,1,2.02E-05,2,,
Belarus,2023,0.001977801,2,1.75E-05,2,,
Belgium,2023,0.009377438,2,0.029863334,2,,
Bermuda,2023,0.008234227,1,0.061310221,2,,
Bolivia,2023,0.001978576,1,7.76E-05,2,,
Brazil,2023,0.007710508,1,0.017433389,2,,
Bulgaria,2023,0.002107343,2,0.000443552,2,,
Canada,2023,0.032290405,1,0.209479116,2,,
Cayman,2023,0.06151508,1,0.427915167,2,,
Chile,2023,0.003416252,1,0.008434562,2,,
China,2023,0.018060993,1,0.058122126,2,,
Colombia,2023,0.003084188,1,0.005098522,2,,
CostaRica,2023,0.002270604,1,0.000330949,2,,
Cyprus,2023,0.002226523,2,0.000825113,2,,
Czech,2023,0.00290275,2,0.001805356,2,,
Denmark,2023,0.009341051,2,0.038855883,2,,
Egypt,2023,0.002316562,3,0.000677325,3,,
Estonia,2023,0.002174762,2,0.000468314,2,,
Finland,2023,0.006472108,2,0.01932335,2,,
France,2023,0.045437375,2,0.158815318,2,,
Germany,2023,0.0332779,2,0.149200904,2,,
Gibraltar,2023,0.002027865,3,6.79E-05,3,,
Greece,2023,0.002713353,2,0.002944909,2,,
Guernsey,2023,0.004043339,3,0.011742217,3,,
Honduras,2023,0.001995439,1,6.94E-05,2,,
HongKong,2023,0.013953939,1,0.058707317,2,,
Hungary,2023,0.003076671,2,0.001912102,2,,
Iceland,2023,0.00208592,3,0.000848289,3,,
India,2023,0.014283674,1,0.030745679,2,,
Indonesia,2023,0.005465797,1,0.006434184,2,,
Ireland,2023,0.05575781,3,0.24810237,3,,
Israel,2023,0.004354698,1,0.016630937,2,,
Italy,2023,0.016412061,2,0.06536074,2,,
Japan,2023,0.034821352,1,0.259859917,2,,
Jersey,2023,0.007395343,1,0.024013742,3,,
Kazakhstan,2023,0.002149516,1,0.003298103,2,,
Korea,2023,0.010642271,1,0.055320273,2,,
Kosovo,2023,0.001970007,2,6.58E-05,2,,
Kuwait,2023,0.002099798,1,0.000420117,2,,
Latvia,2023,0.002267315,2,0.000338759,2,,
Lebanon,2023,0.001987045,2,5.50E-05,3,,
Lithuania,2023,0.002400285,2,0.000469123,2,,
Luxembourg,2023,0.057990507,2,0.216296065,2,,
Macao,2023,0.002176935,1,0.002610702,2,,
Malaysia,2023,0.003503559,1,0.005958909,2,,
Malta,2023,0.002246866,3,0.000474492,3,,
Mauritius,2023,0.002909846,1,0.004030276,2,,
Mexico,2023,0.007290705,1,0.014920654,2,,
Mongolia,2023,0.001994651,2,6.56E-05,2,,
Netherlands,2023,0.031275617,2,0.122680513,2,,
NewZealand,2023,0.003192235,1,0.007369109,2,,
Norway,2023,0.00632098,2,0.065907192,2,,
Pakistan,2023,0.002079485,1,0.000123906,2,,
Panama,2023,0.003023438,1,0.003652948,2,,
Philippines,2023,0.00291681,1,0.002289024,2,,
Poland,2023,0.003588361,2,0.003567307,2,,
Portugal,2023,0.003479224,2,0.005148439,2,,
Romania,2023,0.002998526,2,0.001475628,2,,
SaudiArabia,2023,0.004979589,1,0.018219247,2,,
Singapore,2023,0.011854357,1,0.056144017,2,,
Slovak,2023,0.002540736,2,0.000858208,2,,
Slovenia,2023,0.002255537,2,0.000738262,2,,
SouthAfrica,2023,0.003810355,3,0.009603753,3,,
Spain,2023,0.0155742,2,0.042855918,2,,
Sweden,2023,0.010646605,2,0.044692371,2,,
Switzerland,2023,0.019512454,2,0.098420417,2,,
Thailand,2023,0.003239113,1,0.004936641,2,,
Turkiye,2023,0.003417264,1,0.002071401,3,,
UK,2023,0.057316973,3,0.252454222,3,,
Ukraine,2023,0.0020647,2,0.000322281,2,,
US,2023,0.243115691,1,0.647915866,2,,
